City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,ottumwa,41.02,-92.4113,19.97,79,0,4.63,Ottumwa,1688652994
137,smara,26.7384,-11.6719,37.39,17,1,7.98,Smara,1688652994
138,moelan-sur-mer,47.8142,-3.6289,21.23,43,0,4.12,Moëlan-sur-Mer,1688652994
139,tsiombe,-25.3,45.4833,20.18,58,97,4.13,Tsiombe,1688652995
140,ilulissat,69.2167,-51.1,6.01,93,100,1.54,Ilulissat,1688652995
141,kingston,17.997,-76.7936,31.53,63,20,8.23,Kingston,1688652995
142,mococa,-21.4678,-47.0047,22.13,36,7,4.0,Mococa,1688652996
143,pisco,-13.7,-76.2167,20.03,77,100,3.09,Pisco,1688652996
144,manga,11.6636,-1.0731,35.84,31,99,3.64,Manga,1688652867
145,coronel dorrego,-38.7187,-61.2873,9.44,48,73,4.18,Coronel Dorrego,1688652997
146,longfeng,46.55,125.1167,16.99,93,92,1.97,Longfeng,1688652997
147,malibu,34.005,-118.8101,18.32,89,52,2.5,Malibu,1688652998
148,sakaiminato,35.55,133.2333,23.99,100,75,1.03,Sakaiminato,1688652998
149,hojai,26.0,92.8667,27.5,85,100,1.04,Hojāi,1688652998
150,chonglong,29.7806,104.8522,26.5,81,68,1.82,Chonglong,1688652959
151,avarua,-21.2078,-159.775,23.03,100,75,0.51,Avarua,1688652999
152,makaha,21.4694,-158.2175,25.03,88,100,1.54,Makaha,1688652999
153,trincomalee,8.5711,81.2335,28.49,72,100,6.42,Trincomalee,1688652964
154,keren,15.7778,38.4581,29.64,36,93,4.0,Keren,1688652999
155,ancud,-41.8697,-73.8203,6.7,84,56,1.81,Ancud,1688653000
156,bentiu,9.2333,29.8333,27.37,72,100,5.5,Bentiu,1688653000
157,lubango,-14.9172,13.4925,22.98,20,0,3.31,Lubango,1688652715
158,isafjordur,66.0755,-23.124,8.02,76,75,5.14,Isafjordur,1688653001
159,maddela,16.3414,121.6849,23.9,95,21,1.2,Maddela,1688653001
160,lubao,14.9167,120.55,30.84,77,87,0.84,Lubao,1688653001
